,ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,parallax,parallax_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value,DSouto_feh,DSouto_feh_err,APOGEE_feh,APOGEE_feh_err,TELESCOPE,FIELD,SNR,ASPCAPFLAGS
197,604940822178327552,13.936717000000002,0.00018539074305245348,13.462504999999998,0.0009927053976900887,14.25273,0.0013941531317828056,1.0924379279509413,0.032343863157594924,0.29600000000000004,1.6489125,0.114973664,891.5588583348081,26.634510410968,08534004+1205014,12.587,0.023,133.41674512225,12.08373117257,1.0,0.790225,0.0017114692405833186,-2.9733887,,,,,,,,
198,604942505805554176,14.353541,0.0002546699026322031,13.848756,0.001239771949021023,14.699603,0.0012668287053215516,1.1736741986882635,0.033546509492744056,0.091,0.9811049000000001,0.06629985599999999,831.449365860737,24.007233500833987,08521544+1153015,12.932,0.031,133.06434896795,11.88373909846,1.0,0.85084724,0.0017725375748361624,-3.16288,,,,,,,,
199,604943227360042240,14.365097,0.00023183123598879223,13.856470999999999,0.0009603053328126303,14.714761,0.0010486105072177818,1.086150829529137,0.045574437835858836,0.16699999999999998,1.1330508999999997,0.10597741599999999,896.424313060838,38.366408857313,08523321+1156595,12.870999999999999,0.031,133.13838422113997,11.94983859691,1.0,0.8582896999999999,0.0014218897032034204,-3.1465263,,,,,,,,
200,604943429222316032,15.287994,0.00042355849366682046,14.686312,0.0016344841761929286,15.740166,0.002035465900246657,1.25241013048502,0.06620699996712857,0.0303,0.39153716,0.043938099999999994,780.548270192479,43.44779371116602,08522159+1157265,13.54,0.031,133.08997141046,11.957354699360002,0.9990000000000001,1.053854,0.002610490366443058,-3.3360577000000005,,,,,,,,
201,604943880195096320,14.209217,0.0002438658348810645,13.707460000000001,0.0006900578739324598,14.552992999999999,0.001180989710630634,1.097515686510724,0.035205895782323804,0.1723,1.279699,0.09604251400000001,887.531953191654,28.795777851173053,08520041+1156070,12.789000000000001,0.025,133.00168031313,11.935279833839997,1.0,0.8455324000000001,0.001367814521779768,-3.0384855,,,,,,,,
202,604944086353518592,13.863879999999998,0.00018757032981740494,13.388764000000002,0.0009064212148230961,14.180660999999999,0.0011063381055633837,1.1566863970755723,0.029925192215752287,0.0583,1.5676968,0.09847057,843.35158607302,21.976967668833932,08520330+1158046,12.514000000000001,0.026000000000000002,133.01372068181,11.96794318471,1.0,0.7918968000000001,0.0014302389389549404,-2.8942822999999995,,,,,,,,
203,604944120713062784,15.480659,0.00046631809765100216,14.847107999999999,0.0016796705391693893,15.960920999999999,0.0023190243689604315,0.9016298182584488,0.057820637773616936,0.535,0.6494594,0.08975494,1071.89472249158,72.02685265954983,08520455+1158488,13.505,0.031,133.01894290141,11.98023219052,0.9309999999999999,1.1138133999999997,0.002863418785994448,-3.3038730000000003,,,,,,,,
204,604945804340420736,15.079614000000001,0.0003411266068038166,14.501501999999999,0.0012787337467014162,15.502835999999999,0.002351369076865477,0.97755304054606,0.05550633715092124,0.299,0.7557068,0.0929451,992.143138252185,58.93555091214489,08522612+1159239,13.390999999999998,0.037000000000000005,133.10884592236,11.989970901889999,0.972,1.0013341999999998,0.002676582995274432,-3.3246260000000003,,,,,,,,
205,604947144370041728,15.398789,0.0003940519125819865,14.781837,0.0015512936332992735,15.865252499999999,0.002727627784289273,1.159815364062032,0.046877858091911466,0.158,0.42149228,0.037803948,841.0789934253121,34.70371495881397,08515893+1159560,13.499,0.035,132.99550812711,11.99889682421,1.0,1.083415,0.003137907784869032,-3.3359985,,,,,,,,
206,604947831564803840,15.384429999999998,0.0003329322696888361,14.775807999999998,0.0015310709797990148,15.840429,0.001983013325672848,1.1489242698171729,0.04159535568162578,0.158,0.42910755,0.03517753,848.8536482108949,31.24345167774993,08515877+1201555,13.550999999999998,0.028999999999999998,132.9948308659,12.03210884618,1.0,1.0646209999999998,0.0025052984243356725,-3.3921165,,,,,,,,
