Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M21385676+4133020 4656.06 2.69   0.056  0.062  3.7480e-01  1.5452e+00  1.21   8.41   4.518 0.012 0.004 0.004 0.026 0.078
I  2M21385943+4256542 4827.45 2.91  -0.009  0.06   3.7514e-01  1.5199e+00  1.05   8.19   6.169 0.011 0.004 0.004 0.022 0.066
I  2M21390170+4227499 4535.81 2.33   0.247  0.035 -6.2170e-02  2.6415e+00  2.47   8.51   3.744 0.013 0.003 0.004 0.021 0.065
I  2M21390426+4142050 4945.73 2.45  -0.364  0.126  4.7367e-01  6.1116e-01  1.26   8.87   8.528 0.019 0.007 0.006 0.036 0.099
I  2M21390633+4204060 4431.47 1.78  -0.312  0.107  5.1560e-01  7.6701e-01  1.64  11.37   3.036 0.013 0.004 0.004 0.025 0.077
I  2M21390833+4137185 4862.88 2.44  -0.348  0.08   8.7360e-02  1.7866e+00  1.25   8.73   7.558 0.018 0.006 0.005 0.031 0.091
I  2M21391206+4205579 4302.94 2.11  -0.005  0.158  4.3330e-02  2.2066e+00  2.74  10.17   3.44  0.015 0.004 0.004 0.025 0.076
I  2M21391231+4333236 4559.27 2.29  -0.071  0.078  2.9822e-01  1.5888e+00  1.0    8.58   2.709 0.009 0.002 0.003 0.021 0.064
I  2M21392380+4206033 4798.17 2.57  -0.643  0.245  1.8782e-01  1.4402e+00  1.26   8.75   7.738 0.017 0.006 0.003 0.02  0.058
I  2M21393078+4332396 4186.47 1.61   0.12   0.052  6.7420e-02  2.3938e+00  0.95   8.64   1.298 0.006 0.001 0.002 0.011 0.032
I  2M21393102+4328503 4612.4  2.69  -0.002  0.138  1.5767e-01  2.5228e+00  1.68   8.36   4.007 0.011 0.003 0.003 0.021 0.063
I  2M21393159+4149295 4921.1  2.51  -0.277  0.113  2.2055e-01  1.3409e+00  2.84   8.18   8.798 0.021 0.007 0.007 0.042 0.118
I  2M21393241+4245136 4703.3  2.56  -0.738  0.267 -1.6990e-02  2.1814e+00  0.73   8.48   3.454 0.008 0.003 0.002 0.01  0.029
I  2M21393250+4159415 4192.48 1.41  -0.175  0.091  1.9244e-01  1.7799e+00  0.7    9.19   1.171 0.005 0.001 0.002 0.01  0.032
I  2M21393250+4304310 4588.46 2.41   0.287  0.048  6.3290e-02  2.5170e+00  1.28   8.98   3.195 0.01  0.003 0.003 0.019 0.053
I  2M21393391+4243325 4283.25 1.8    0.154  0.01   5.5754e-01  9.4546e-01  1.18   8.07   1.497 0.007 0.002 0.002 0.015 0.046
I  2M21393430+4257340 4824.88 2.46  -0.068  0.062  6.6036e-01  3.1288e-01  1.48   8.87   6.081 0.016 0.005 0.004 0.033 0.095
I  2M21393558+4308392 4385.9  1.77  -0.166  0.05   5.1173e-01  7.6982e-01  0.6    8.46   1.349 0.006 0.002 0.002 0.012 0.038
I  2M21393631+4252352 4949.26 3.2   -0.147  0.076  3.6195e-01  1.4123e+00  0.48   8.03   4.155 0.006 0.003 0.002 0.011 0.031
I  2M21394081+4215237 4678.86 2.67   0.174  0.033  1.3626e-01  1.9962e+00  2.29   8.12   4.979 0.013 0.004 0.004 0.025 0.078
I  2M21394139+4301382 4467.2  1.91  -0.432  0.118  2.4280e-02  2.0563e+00  1.11  12.13   3.471 0.014 0.004 0.005 0.025 0.076
I  2M21394382+4230249 4803.85 2.91   0.091  0.015 -1.8440e-01  2.9459e+00  3.17   8.22   9.945 0.018 0.007 0.005 0.026 0.082
I  2M21395398+4128278 4656.4  2.43   0.061  0.025  4.4088e-01  1.0943e+00  0.58   8.16   2.356 0.007 0.002 0.002 0.017 0.054
I  2M21395698+4229226 4501.2  2.36  -0.219  0.148  2.2327e-01  1.6946e+00  2.77   9.07   4.535 0.016 0.005 0.006 0.03  0.091
I  2M21400016+4346439 4863.71 2.97  -0.025  0.049  2.1160e-01  1.9300e+00  0.99   8.14   5.426 0.009 0.004 0.003 0.016 0.048
I  2M21400210+4303469 4802.04 2.5   -0.077  0.046  5.8029e-01  5.7771e-01  0.91   8.28   4.165 0.011 0.003 0.003 0.023 0.065
I  2M21400479+4243589 4795.12 2.5   -0.448  0.111  1.7532e-01  1.5610e+00  1.1    9.49   7.078 0.017 0.006 0.004 0.024 0.072
I  2M21400599+4127400 4855.91 2.93  -0.216  0.111  2.9923e-01  1.4834e+00  1.14   8.38   7.733 0.012 0.005 0.004 0.022 0.065
I  2M21401174+4324055 4897.96 3.15  -0.294  0.181  1.2037e-01  2.1360e+00  1.64   8.32   9.322 0.013 0.006 0.004 0.018 0.054
I  2M21401182+4313469 4764.02 2.89  -0.045  0.107 -3.4030e-02  2.6173e+00  0.99   8.82   5.81  0.011 0.004 0.004 0.018 0.054
I  2M21401271+4236116 4553.35 1.96  -0.091  0.068  2.6762e-01  1.4688e+00  0.94   8.18   2.344 0.008 0.002 0.003 0.02  0.06 
I  2M21401276+4333574 5042.57 3.19   0.101  0.02   7.9468e-01  3.0329e-01  0.91   8.03   5.156 0.009 0.003 0.002 0.017 0.049
I  2M21401882+4350520 4920.78 3.18  -0.517  0.173  6.2630e-02  2.1641e+00  1.44   8.55  10.314 0.017 0.007 0.004 0.02  0.059
