Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M03075275+7857340 4985.18 3.16  -0.252  0.198  2.9168e-01  1.3838e+00  3.73   8.79  14.01  0.021 0.009 0.006 0.031 0.09 
I  2M03075409+7932124 4888.19 2.98   0.12   0.055  1.7495e-01  1.6794e+00  1.21   8.48   5.298 0.009 0.004 0.003 0.018 0.053
I  2M03080601+7950502 4910.79 3.08  -0.179  0.095  2.3000e-01  1.8066e+00  1.6   10.13   8.816 0.013 0.006 0.005 0.022 0.065
I  2M03083915+8003558 4683.05 2.74   0.034  0.055  1.0308e-01  2.3517e+00  1.07   9.4    4.193 0.01  0.003 0.003 0.018 0.055
I  2M03084151+7938421 4622.39 2.66  -0.128  0.109  3.2790e-02  2.3831e+00  1.25  10.87   4.606 0.011 0.004 0.004 0.021 0.062
I  2M03085652+7948340 4718.77 2.14  -0.545  0.119  5.1990e-02  1.6752e+00  1.07  11.21   4.714 0.013 0.004 0.004 0.022 0.064
I  2M03092335+8028056 4890.09 2.54  -0.262  0.058  1.0751e-01  1.6470e+00  1.8   12.64   9.936 0.027 0.008 0.007 0.04  0.119
I  2M03095255+7851157 4753.42 2.55  -0.181  0.208  4.7540e-02  1.8687e+00  3.07   8.99   6.802 0.017 0.006 0.004 0.028 0.079
I  2M03100079+7853325 4840.72 2.66  -0.356  0.13  -9.4990e-02  2.4125e+00  4.77  10.33  19.962 0.036 0.015 0.011 0.052 0.163
I  2M03100490+8027149 4949.27 3.07  -0.435  0.143  2.3327e-01  1.5792e+00  1.17   9.23   8.954 0.015 0.006 0.004 0.02  0.057
I  2M03103699+7938506 4792.27 2.97   0.205  0.138  5.5917e-01  8.3133e-01  3.89   9.36   9.099 0.017 0.007 0.004 0.035 0.106
I  2M03104288+7923431 4607.97 2.02  -0.417  0.04  -1.8287e-01  2.5125e+00  3.14  13.57   7.799 0.024 0.008 0.006 0.036 0.114
I  2M03110407+7951520 4682.03 2.81   0.095  0.059  7.2800e-03  2.6986e+00  1.49  10.35   6.927 0.017 0.005 0.005 0.027 0.08 
I  2M03110988+8009591 4365.37 1.78  -0.384  0.109  9.0450e-02  1.8579e+00  1.55  16.36   3.6   0.017 0.005 0.006 0.028 0.088
I  2M03111387+8030051 4968.64 3.17  -0.286  0.095  2.0957e-01  1.7749e+00  1.28   9.02  10.291 0.015 0.007 0.005 0.026 0.075
I  2M03120304+7840367 4398.18 2.22   0.274  0.072  2.3065e-01  1.7584e+00  2.73   9.2    2.731 0.011 0.003 0.003 0.022 0.066
I  2M03121084+7926369 4512.36 1.94  -0.614  0.167 -4.3769e-01  3.1824e+00  4.8   16.21   7.513 0.027 0.009 0.007 0.037 0.113
I  2M03121266+7918159 4961.38 3.26  -0.097  0.212  1.5630e-01  1.6672e+00  3.59   9.53  17.934 0.024 0.011 0.007 0.037 0.107
I  2M03122605+8023188 4776.83 2.26  -0.366  0.052 -3.7550e-02  2.0612e+00  0.71   9.14   3.706 0.009 0.003 0.002 0.015 0.043
I  2M03122666+7925037 4610.19 2.15  -0.654  0.25  -2.2944e-01  2.4639e+00  4.06  19.5    8.88  0.028 0.009 0.006 0.039 0.114
I  2M03122672+8002224 4793.75 2.39  -0.324  0.208 -2.1566e-01  2.5794e+00  0.93   8.64   4.076 0.01  0.004 0.003 0.014 0.039
I  2M03122767+7927416 4857.56 2.88  -0.303  0.202 -1.0933e-01  2.4443e+00  2.69  10.31  11.697 0.018 0.008 0.005 0.026 0.074
I  2M03125124+7936187 5013.17 3.29  -0.296  0.082  9.2430e-02  2.1811e+00  1.46  10.1    8.714 0.013 0.006 0.004 0.022 0.065
I  2M03125240+8035553 4755.71 2.5   -0.301  0.081  3.4499e-01  1.2557e+00  0.9    9.39   4.249 0.011 0.003 0.003 0.019 0.056
I  2M03131048+8010190 4936.82 3.15  -0.214  0.094  2.1586e-01  1.7857e+00  1.29   9.42  10.294 0.015 0.007 0.005 0.025 0.074
I  2M03131971+7900477 4569.53 2.09  -0.471  0.158  1.8531e-01  1.5276e+00  2.5   12.04   6.504 0.024 0.007 0.007 0.044 0.133
I  2M03134718+7854521 4474.66 2.35  -0.212  0.182  1.3740e-01  1.9364e+00  2.27  10.22   3.775 0.014 0.004 0.004 0.024 0.072
I  2M03135246+7951421 4560.21 2.1    0.043  0.024  3.9383e-01  1.0976e+00  2.05   9.61   3.576 0.013 0.003 0.004 0.032 0.099
I  2M03135694+8014050 4608.77 2.67  -0.155  0.215  8.9010e-02  2.2268e+00  1.39  10.65   4.2   0.011 0.004 0.003 0.019 0.057
I  2M03141047+8028094 4618.93 2.56   0.162  0.125  4.0458e-01  1.3676e+00  1.35  10.33   3.616 0.011 0.003 0.003 0.023 0.07 
I  2M03141598+7838032 4979.06 3.25   0.078  0.094  8.9023e-01 -2.3728e-01  2.18   8.84  16.325 0.023 0.01  0.007 0.042 0.121
I  2M03144382+7932199 5014.32 3.15  -0.093  0.034  5.3242e-01  7.8845e-01  0.51   8.41   3.933 0.007 0.003 0.002 0.012 0.036
I  2M03144564+7919583 4886.41 2.77  -0.469  0.213  4.7440e-02  1.5307e+00  3.72  10.7   16.348 0.027 0.011 0.007 0.037 0.105
I  2M03144649+8039254 4270.1  1.73   0.069  0.021  5.8238e-01  7.2406e-01  1.67   9.87   1.822 0.009 0.002 0.003 0.018 0.055
I  2M03154142+8015344 4756.2  2.97  -0.133  0.137  6.1320e-02  2.4386e+00  1.11   9.17   4.942 0.009 0.004 0.003 0.016 0.046
I  2M03154829+7913080 4800.0  3.08   0.011  0.166 -1.5101e-01  2.7193e+00  3.41   9.84  12.395 0.02  0.008 0.006 0.032 0.092
I  2M03163710+7841166 4907.74 3.25   0.165  0.074  2.9410e-01  1.7382e+00  1.78   8.87   7.581 0.011 0.005 0.003 0.021 0.063
I  2M03165099+8022345 4939.18 3.08   0.072  0.088  8.1320e-02  2.1495e+00  1.64   9.66  12.277 0.022 0.009 0.007 0.036 0.103
I  2M03165439+8019520 4994.38 3.24  -0.393  0.111  3.2924e-01  1.3572e+00  1.44   9.38   9.008 0.015 0.006 0.004 0.022 0.064
I  2M03171496+7839368 4750.41 2.38  -0.337  0.228 -1.3117e-01  2.4064e+00  0.43   9.03   2.54  0.006 0.002 0.001 0.01  0.026
I  2M03171690+7846158 4642.52 2.1   -0.146  0.103  1.1983e+00 -1.3057e+00  3.8    9.1    4.555 0.016 0.005 0.004 0.021 0.06 
I  2M03174510+7836232 4721.04 2.95   0.089  0.175 -5.9300e-03  2.3593e+00  2.59  10.26   7.639 0.015 0.006 0.004 0.026 0.078
I  2M03175021+7908521 4962.47 3.12  -0.313  0.095 -6.7480e-02  2.4930e+00  1.86   9.16   9.328 0.015 0.006 0.005 0.021 0.064
I  2M03181691+8030218 4521.42 2.3   -0.021  0.074  6.8820e-02  2.3011e+00  1.91   9.56   3.464 0.012 0.003 0.004 0.023 0.07 
I  2M03182178+8043048 4937.64 3.03  -0.113  0.112  2.8242e-01  1.6369e+00  1.17   9.83  11.125 0.018 0.008 0.006 0.032 0.094
I  2M03182770+7935236 4891.85 3.14  -0.119  0.072 -1.1616e-01  2.8321e+00  2.29   9.61  10.893 0.015 0.007 0.005 0.023 0.069
I  2M03183897+7950259 4780.99 2.88  -0.173  0.097  1.1399e-01  2.1867e+00  1.16   9.96   5.984 0.01  0.004 0.004 0.018 0.055
I  2M03185441+8035458 4767.05 2.48  -0.463  0.105  1.1477e-01  1.7601e+00  1.01  11.37   6.429 0.015 0.005 0.004 0.022 0.065
I  2M03191487+8022005 4795.95 2.66  -0.422  0.095  1.0590e-01  1.8899e+00  1.31  11.06   9.338 0.02  0.007 0.005 0.026 0.077
I  2M03192561+8007431 4977.63 3.09  -0.317  0.127  4.3293e-01  9.3209e-01  0.84   8.54   6.058 0.009 0.004 0.003 0.015 0.043
I  2M03193504+7827003 4898.77 3.24  -0.309  0.185  1.1827e-01  2.1653e+00  0.92   8.61   6.106 0.009 0.004 0.003 0.012 0.036
I  2M03193933+7933242 4347.09 1.71  -0.41   0.107  1.5908e-01  1.7555e+00  1.27  14.99   2.744 0.013 0.004 0.004 0.022 0.07 
I  2M03205917+7925115 4440.18 1.86  -0.416  0.111 -3.3210e-01  2.9899e+00  4.5   15.65   5.024 0.02  0.006 0.006 0.029 0.092
I  2M03212718+8030528 4524.16 1.91  -0.459  0.078  1.7463e-01  1.4689e+00  0.79  10.14   2.033 0.008 0.002 0.002 0.014 0.043
I  2M03213501+7924230 4754.68 2.81  -0.103  0.131  6.9210e-02  2.0558e+00  1.82  10.39   6.676 0.013 0.005 0.004 0.025 0.072
I  2M03215208+7838489 4520.67 2.31   0.06   0.049  4.3549e-01  1.1972e+00  0.54   8.8    1.643 0.006 0.002 0.002 0.014 0.043
I  2M03215369+7817407 5009.36 3.14  -0.207  0.098  5.1288e-01  7.4904e-01  1.32   9.01   9.625 0.014 0.006 0.005 0.028 0.081
I  2M03215561+8023244 4815.48 2.91   0.132  0.04   2.2248e-01  2.0022e+00  1.03   8.57   4.527 0.009 0.003 0.002 0.017 0.049
I  2M03221225+8019452 4648.19 2.21  -0.504  0.122  1.0674e-01  1.7545e+00  1.24  12.6    4.693 0.016 0.005 0.004 0.025 0.076
I  2M03221892+7846028 4856.76 2.95  -0.071  0.117  7.8981e-01  4.0150e-02  1.94   9.95   8.787 0.016 0.006 0.004 0.025 0.073
I  2M03223343+7933474 4576.6  2.53  -0.035  0.087 -6.8940e-02  2.5321e+00  2.32   9.54   4.374 0.013 0.004 0.004 0.022 0.069
I  2M03224486+7941108 4974.64 3.16  -0.117  0.059  4.6702e-01  1.0426e+00  1.04   9.23   7.944 0.011 0.005 0.004 0.022 0.064
I  2M03224930+7947086 4813.87 2.81  -0.21   0.095  1.3438e-01  1.8844e+00  0.72   9.37   4.493 0.008 0.003 0.003 0.014 0.04 
I  2M03225226+7827057 4507.06 1.87  -0.152  0.074  2.4186e-01  1.5106e+00  0.66   9.83   1.832 0.007 0.002 0.002 0.015 0.047
I  2M03231291+7850590 4937.99 3.05  -0.346  0.096  8.7000e-02  2.0330e+00  1.59  10.08  13.408 0.02  0.009 0.006 0.03  0.091
I  2M03232966+8055205 4607.12 2.14  -0.453  0.097  1.5640e-01  1.5781e+00  1.05  11.93   4.357 0.016 0.005 0.004 0.026 0.079
I  2M03232970+8022368 4889.4  2.91  -0.273  0.098  1.9086e-01  1.7815e+00  1.27   9.99   8.878 0.014 0.006 0.005 0.022 0.066
I  2M03233247+7945090 4602.57 2.0   -0.416  0.121  3.2776e-01  9.2989e-01  1.1   11.74   3.169 0.011 0.003 0.004 0.022 0.066
I  2M03234899+7926144 4683.68 2.71   0.122  0.059  4.8590e-02  2.4012e+00  1.26  10.06   4.097 0.01  0.003 0.003 0.018 0.056
I  2M03235702+8056404 4440.85 1.95  -0.323  0.095  1.3877e-01  1.8758e+00  0.43   8.97   1.378 0.006 0.002 0.002 0.01  0.033
I  2M03242832+8001234 4750.1  2.39  -0.067  0.065 -9.6190e-02  2.4609e+00  1.42  12.55   5.919 0.015 0.005 0.005 0.025 0.071
I  2M03243793+7926343 4907.4  3.27   0.17   0.028  3.4630e-02  2.4239e+00  0.95   8.26   4.47  0.007 0.003 0.002 0.011 0.034
I  2M03244927+7842158 4931.09 3.17  -0.441  0.151  2.3974e-01  1.4855e+00  1.35   9.75  10.248 0.016 0.006 0.005 0.021 0.06 
I  2M03253505+7938461 4923.15 3.23   0.04   0.123  2.0314e-01  1.9240e+00  2.27   9.08  10.157 0.014 0.007 0.005 0.025 0.074
I  2M03253750+7920490 4745.28 2.46   0.091  0.031 -1.0210e-02  2.2578e+00  1.03   8.9    3.578 0.009 0.003 0.003 0.016 0.05 
I  2M03253876+7832306 4369.34 2.11  -0.002  0.136  6.8820e-02  2.2328e+00  1.44  12.92   3.118 0.014 0.003 0.004 0.023 0.069
I  2M03253971+7958090 4582.32 2.25  -0.177  0.062  2.7285e-01  1.5008e+00  0.67   9.56   2.221 0.008 0.002 0.003 0.016 0.05 
I  2M03254755+8025477 4862.23 2.79  -0.225  0.071  1.6663e-01  1.8274e+00  0.73   8.91   4.713 0.009 0.003 0.003 0.014 0.041
I  2M03260003+7914177 4912.6  2.78  -0.279  0.127  2.4634e-01  1.3717e+00  0.53   8.78   4.504 0.008 0.003 0.003 0.014 0.041
I  2M03260983+7917170 4864.92 2.52  -0.524  0.216 -2.0847e-01  2.4000e+00  4.93  14.77  18.703 0.035 0.014 0.009 0.047 0.13 
I  2M03262508+8007344 4789.17 3.1    0.021  0.111  5.2220e-02  2.5118e+00  1.66  10.07   6.033 0.01  0.004 0.003 0.018 0.053
I  2M03270028+7836040 4801.96 2.77  -0.273  0.177  4.2488e-01  9.9488e-01  0.77   9.08   4.319 0.008 0.003 0.002 0.014 0.04 
I  2M03270678+8017310 4758.99 2.5   -0.5    0.164 -2.3310e-02  2.1784e+00  0.89  10.49   4.879 0.011 0.004 0.003 0.016 0.047
I  2M03273576+8001334 4975.96 3.23  -0.142  0.089  3.4434e-01  1.4329e+00  1.42   9.55   9.454 0.013 0.006 0.005 0.025 0.073
I  2M03280322+7830219 4964.51 3.12   0.094  0.033  6.1156e-01  6.4249e-01  0.87   8.18   4.965 0.008 0.003 0.002 0.016 0.047
I  2M03280780+8049493 4110.89 1.38  -0.311  0.119  3.6866e-01  1.1375e+00  1.42  15.17   1.68  0.009 0.002 0.003 0.015 0.046
I  2M03284290+7930124 4900.1  3.24  -0.174  0.121  3.8070e-02  2.4966e+00  0.44   8.37   3.814 0.005 0.002 0.002 0.008 0.024
I  2M03285154+7907510 4783.97 2.57  -0.778  0.279 -8.8200e-02  2.3020e+00  4.47  17.1   15.197 0.031 0.012 0.005 0.033 0.095
I  2M03290378+7939413 4412.48 2.03  -0.004  0.048  8.7750e-02  2.1325e+00  3.13   9.81   3.536 0.014 0.003 0.005 0.027 0.088
I  2M03290744+8038142 4924.9  3.0   -0.364  0.111  2.1013e-01  1.6332e+00  0.56   8.88   5.024 0.008 0.003 0.003 0.011 0.033
I  2M03292980+7837144 4860.75 2.38  -0.285  0.16   6.5190e-02  1.7198e+00  1.27   9.89   6.075 0.014 0.005 0.004 0.026 0.073
I  2M03294034+7822349 4773.95 2.54   0.153  0.104  1.5664e-01  1.7380e+00  2.63   9.97   5.682 0.015 0.005 0.004 0.029 0.084
I  2M03295618+7903387 4535.51 2.05  -0.187  0.11   3.3120e-01  1.2545e+00  0.82   9.54   2.172 0.008 0.002 0.003 0.018 0.054
I  2M03295882+8025469 4925.71 2.39  -0.623  0.265 -2.5493e-01  2.4354e+00  0.5    8.36   3.811 0.007 0.003 0.002 0.01  0.026
I  2M03295926+7850262 4870.9  3.13   0.18   0.043  2.5113e-01  1.8280e+00  0.53   8.24   3.28  0.005 0.002 0.002 0.01  0.03 
I  2M03301689+8053034 4488.57 1.83  -0.486  0.148  1.6630e-02  1.9121e+00  1.12  16.4    4.182 0.016 0.005 0.005 0.028 0.086
I  2M03303486+7911166 5022.88 3.11  -0.001  0.028  4.3254e-01  9.8423e-01  0.59   8.34   3.965 0.007 0.003 0.002 0.014 0.042
I  2M03305233+8030009 4889.49 3.26   0.016  0.057  6.9150e-02  2.5512e+00  1.16   9.13   6.982 0.01  0.004 0.003 0.016 0.048
I  2M03310701+8055093 4783.19 2.44  -0.109  0.077 -3.9440e-02  2.3158e+00  1.06  10.14   5.284 0.013 0.004 0.004 0.023 0.065
I  2M03313573+8058559 4870.0  2.43  -0.194  0.035  9.5120e-02  1.7537e+00  0.79   8.64   4.048 0.01  0.003 0.002 0.017 0.05 
I  2M03320342+7903385 4715.67 2.52   0.058  0.06   1.2780e-02  2.2281e+00  1.54   8.89   4.437 0.011 0.004 0.003 0.021 0.063
I  2M03324432+8021528 4917.33 2.41  -0.363  0.096 -1.7631e-01  2.3699e+00  1.0    9.53   4.873 0.011 0.004 0.003 0.016 0.045
I  2M03325431+7933208 4674.64 2.24  -0.026  0.061 -1.8718e-01  2.7683e+00  0.59   8.63   2.328 0.007 0.002 0.002 0.01  0.029
I  2M03325564+7901351 4493.49 2.41  -0.123  0.184  1.0904e-01  2.0195e+00  1.49   8.92   2.63  0.009 0.003 0.003 0.016 0.048
I  2M03325692+7814403 4774.7  3.0    0.029  0.148  2.3359e-01  1.7353e+00  1.51   9.75   6.696 0.012 0.005 0.004 0.023 0.068
I  2M03330353+7844214 4110.66 2.02   0.07   0.059  2.8988e-01  1.9256e+00  1.99   8.58   1.711 0.008 0.002 0.003 0.014 0.045
I  2M03330457+8037459 4947.53 3.09  -0.212  0.071  3.6765e-01  1.3139e+00  0.49   8.48   4.279 0.006 0.003 0.002 0.011 0.032
I  2M03334760+8014507 4895.92 3.12   0.002  0.063  2.7124e-01  2.0406e+00  1.45   8.61   7.761 0.011 0.005 0.004 0.022 0.064
I  2M03340089+7907529 4815.39 3.02  -0.249  0.229  1.4724e-01  1.8268e+00  1.32   9.96   6.997 0.011 0.005 0.003 0.017 0.049
I  2M03342372+7956317 4886.49 2.41  -0.302  0.084  7.7540e-02  1.7281e+00  0.98  10.55   6.027 0.015 0.005 0.005 0.027 0.077
I  2M03345024+7814484 4563.82 2.09  -0.134  0.071  6.2351e-01  4.5727e-01  0.39   8.56   1.446 0.006 0.001 0.002 0.011 0.034
I  2M03345558+8048258 4990.69 3.16  -0.312  0.116  2.6974e-01  1.5836e+00  0.73   8.47   5.29  0.008 0.003 0.003 0.013 0.039
I  2M03354162+8055043 4685.0  2.28  -0.564  0.162  1.6657e-01  1.5497e+00  1.05  11.79   5.948 0.018 0.006 0.005 0.028 0.085
I  2M03360516+7907563 4667.89 2.5    0.062  0.041  2.1217e-01  1.5280e+00  1.13   9.89   3.595 0.01  0.003 0.003 0.022 0.069
I  2M03363342+7832235 4755.19 2.68  -0.074  0.092  5.3450e-01  7.4322e-01  0.84   8.3    3.588 0.009 0.003 0.003 0.018 0.052
I  2M03373677+8007494 4754.66 2.56  -0.49   0.152  1.2165e-01  1.8250e+00  1.08  11.34   7.021 0.017 0.006 0.005 0.024 0.071
I  2M03374380+7906140 4851.32 2.88  -0.497  0.2   -2.3600e-02  1.9490e+00  4.32  11.57  19.419 0.032 0.013 0.008 0.038 0.112
I  2M03380407+7916367 4898.15 3.08  -0.465  0.229  2.8380e-02  1.7877e+00  2.84  10.51  13.288 0.021 0.009 0.005 0.024 0.071
I  2M03381810+7834135 4993.71 2.28  -0.794  0.279 -1.1929e-01  1.9007e+00  1.54  12.16   8.379 0.014 0.007 0.004 0.026 0.071
I  2M03382851+7954596 4839.09 2.82  -0.417  0.137  1.8186e-01  1.6605e+00  1.0   10.08   8.351 0.014 0.006 0.004 0.02  0.059
I  2M03382898+7947499 4903.36 3.08  -0.594  0.189  1.6828e-01  1.7542e+00  1.1    9.68   8.499 0.015 0.006 0.004 0.016 0.046
I  2M03384453+8016228 4602.55 2.07  -0.427  0.178  9.2880e-02  1.7395e+00  1.47  18.11   4.883 0.017 0.005 0.005 0.031 0.092
I  2M03390832+8040131 4964.69 2.39  -0.54   0.165 -9.8240e-02  2.1562e+00  1.3    9.99  10.021 0.02  0.009 0.007 0.035 0.096
I  2M03394328+7926363 4932.79 3.21  -0.19   0.166  1.5076e-01  1.9228e+00  2.57   9.44  12.277 0.016 0.008 0.005 0.026 0.077
I  2M03401391+7912488 4709.28 2.39   0.171  0.025  4.0018e-01  1.1573e+00  0.68   9.1    2.63  0.008 0.002 0.002 0.02  0.06 
I  2M03401921+8030401 4945.86 3.17  -0.36   0.131  1.1684e-01  2.0003e+00  1.11   8.69   7.537 0.012 0.005 0.004 0.016 0.048
I  2M03402911+7928221 4222.98 1.41  -0.353  0.14   4.4844e-01  9.1994e-01  1.07  11.72   1.446 0.007 0.002 0.002 0.012 0.038
I  2M03414287+7957190 4570.3  1.92  -0.434  0.135  1.1271e-01  1.5890e+00  0.97  14.2    3.642 0.013 0.004 0.005 0.026 0.078
I  2M03415333+7900186 4447.69 2.11   0.128  0.007  6.3470e-01  6.4009e-01  1.87   8.64   2.447 0.011 0.003 0.003 0.023 0.071
I  2M03415825+7902373 4180.74 1.72  -0.016  0.03   2.1359e-01  1.9088e+00  0.58   9.22   1.004 0.005 0.001 0.002 0.009 0.028
I  2M03420167+7826404 4864.55 3.04  -0.46   0.146  4.9170e-02  2.0223e+00  1.5   10.75  12.135 0.019 0.008 0.005 0.023 0.066
I  2M03423454+7906377 4947.65 3.14  -0.423  0.156  2.2698e-01  1.4688e+00  0.99   9.34   7.048 0.011 0.004 0.003 0.015 0.043
I  2M03423824+7904293 4959.86 3.13  -0.315  0.146  1.9384e-01  1.5194e+00  1.83   8.79  10.425 0.016 0.007 0.005 0.024 0.07 
I  2M03425152+8040443 4758.3  2.51  -0.434  0.123  2.8924e-01  1.2448e+00  1.13  10.62   6.715 0.017 0.006 0.005 0.026 0.076
I  2M03430646+8007367 4632.56 2.05  -0.426  0.126  9.1600e-03  1.9668e+00  0.89  14.54   3.194 0.01  0.003 0.003 0.019 0.058
I  2M03431956+7958532 4653.54 2.72  -0.295  0.19   2.2809e-01  1.8804e+00  1.24   9.64   5.677 0.013 0.005 0.004 0.024 0.072
I  2M03432919+8000572 4382.13 2.15  -0.346  0.213  1.1405e-01  2.0382e+00  0.83  10.79   1.775 0.007 0.002 0.002 0.012 0.035
I  2M03435127+7855570 4491.44 2.1   -0.167  0.085  2.1666e-01  1.5871e+00  1.11  10.83   2.482 0.01  0.003 0.003 0.02  0.062
I  2M03442280+8036504 4716.1  2.78  -0.363  0.185  5.0480e-02  2.2523e+00  1.0   10.57   5.157 0.01  0.004 0.003 0.017 0.052
I  2M03444598+8026588 4936.5  3.26  -0.483  0.207  4.9260e-02  2.2224e+00  1.16  10.48   8.588 0.014 0.005 0.004 0.015 0.045
I  2M03444956+7846564 4874.02 2.84  -0.203  0.094  3.4328e-01  1.1667e+00  0.94   9.35   5.999 0.011 0.004 0.004 0.019 0.056
I  2M03450297+7846115 4879.26 2.95  -0.023  0.08   2.4544e-01  1.6140e+00  1.49   9.25   6.646 0.011 0.005 0.004 0.021 0.062
I  2M03451943+7848029 4895.26 3.23   0.027  0.091  4.8940e-02  2.3549e+00  1.05   8.81   5.148 0.007 0.003 0.003 0.012 0.036
I  2M03453487+7918107 4608.36 2.36  -0.308  0.179  2.4330e-01  1.5113e+00  1.69  10.26   3.771 0.013 0.004 0.004 0.022 0.067
I  2M03453832+7946339 4226.96 1.43  -0.464  0.158  2.4876e-01  1.4320e+00  1.38  13.83   1.719 0.008 0.002 0.003 0.014 0.044
I  2M03454327+7847008 4331.59 1.7   -0.105  0.053  4.4463e-01  1.0571e+00  0.69   8.92   1.302 0.006 0.002 0.002 0.012 0.038
I  2M03454473+8048256 4369.89 1.69  -0.477  0.1    2.3650e-01  1.2860e+00  1.67  15.74   3.818 0.018 0.005 0.005 0.031 0.094
I  2M03455596+7904545 4954.32 3.27  -0.453  0.203 -2.4870e-02  2.0559e+00  2.91   8.7   10.625 0.018 0.007 0.005 0.021 0.06 
I  2M03455665+7909237 4876.42 2.92  -0.506  0.21   2.3708e-01  1.1336e+00  2.52  11.05  16.222 0.027 0.011 0.007 0.033 0.094
I  2M03460058+8045574 4526.56 1.99  -0.677  0.204  1.0365e-01  1.7133e+00  0.66  10.46   1.945 0.008 0.002 0.002 0.012 0.035
I  2M03460833+7912306 4891.19 2.75  -0.267  0.106  2.6922e-01  1.2523e+00  1.13   9.07   6.596 0.013 0.005 0.004 0.021 0.063
I  2M03463490+7848023 4560.04 1.99  -0.516  0.125  8.0010e-02  1.8140e+00  2.53  14.88   4.682 0.018 0.005 0.005 0.03  0.094
I  2M03465623+8015585 4885.43 2.88  -0.037  0.04   3.3537e-01  1.3847e+00  0.87   8.96   5.173 0.01  0.004 0.003 0.017 0.05 
I  2M03470102+7829195 4834.25 2.62  -0.222  0.098  2.6224e-01  1.3381e+00  0.5    8.81   3.664 0.008 0.003 0.003 0.016 0.046
I  2M03474061+8013594 4435.0  1.73  -0.469  0.099  1.0649e-01  1.6250e+00  1.18  17.2    3.229 0.014 0.004 0.004 0.025 0.077
I  2M03482070+7917025 4858.81 2.5   -0.008  0.048  2.5523e-01  1.3254e+00  0.48   8.49   2.978 0.007 0.002 0.002 0.016 0.048
I  2M03482359+7845438 4467.63 2.26  -0.407  0.244  5.8370e-02  2.1018e+00  0.6    8.7    1.624 0.006 0.002 0.002 0.009 0.027
I  2M03485208+7818080 4980.73 2.74   0.177 -0.016  3.5876e-01  1.2212e+00  0.56   8.25   3.022 0.007 0.002 0.002 0.014 0.041
I  2M03491045+7935481 4723.81 2.24  -0.55   0.204  4.9780e-01  6.5056e-01  2.46  16.24   6.637 0.02  0.006 0.004 0.026 0.076
I  2M03491628+7945072 4882.97 3.2    0.179  0.055  3.8559e-01  1.7615e+00  1.31   9.42   8.648 0.014 0.006 0.004 0.026 0.079
I  2M03492834+7851217 4621.25 2.55  -0.108  0.076  1.7997e-01  1.8658e+00  0.5    8.73   2.169 0.006 0.002 0.002 0.012 0.037
I  2M03494377+7900332 4964.45 3.14  -0.329  0.128  3.2004e-01  1.2885e+00  0.67   8.8    5.355 0.008 0.003 0.003 0.012 0.036
I  2M03495391+7932383 4721.2  2.76  -0.727  0.292  3.2016e-01  1.3658e+00  3.88   9.3   11.513 0.024 0.009 0.005 0.028 0.081
I  2M03495750+8033258 4365.53 1.74  -0.679  0.231  3.0310e-02  1.9524e+00  0.86  12.27   1.7   0.008 0.003 0.002 0.012 0.035
I  2M03503577+8020005 4349.54 2.01  -0.096  0.128 -1.2640e-02  2.4676e+00  0.93  10.48   1.757 0.008 0.002 0.003 0.013 0.038
I  2M03504261+7854553 4518.58 2.28   0.103  0.044  5.9545e-01  6.7500e-01  0.6    8.35   1.599 0.006 0.002 0.002 0.014 0.042
I  2M03504264+8008292 4965.62 2.42  -0.498  0.168  7.5900e-02  1.6270e+00  0.97   9.83   6.131 0.012 0.005 0.004 0.023 0.065
I  2M03505082+7836062 4906.02 2.43  -0.445  0.168  6.3350e-02  1.6231e+00  1.19  11.41   7.545 0.016 0.006 0.005 0.028 0.078
I  2M03505130+7855331 4940.45 3.03  -0.321  0.116  1.9294e-01  1.5878e+00  0.81   8.85   5.975 0.009 0.004 0.003 0.014 0.041
I  2M03521916+8038177 4688.61 2.09  -0.66   0.172  7.0430e-02  1.6575e+00  1.06  14.55   5.263 0.015 0.005 0.004 0.025 0.073
I  2M03522912+7825505 4971.96 3.22  -0.412  0.149  2.5102e-01  1.5145e+00  2.41   9.4   18.116 0.028 0.011 0.009 0.041 0.12 
I  2M03524389+7924099 4945.97 3.15  -0.609  0.254  3.4447e-01  1.0688e+00  3.75   9.79  12.753 0.023 0.009 0.005 0.024 0.069
I  2M03534085+8025561 5044.63 2.78  -0.126  0.046  8.5321e-01 -2.5568e-01  1.07   9.14   6.879 0.016 0.005 0.004 0.025 0.073
I  2M03534463+7927112 4895.07 3.22   0.091  0.044  3.0404e-01  1.8437e+00  0.37   8.32   2.973 0.004 0.002 0.001 0.008 0.025
I  2M03534903+7858088 4592.63 2.3   -0.18   0.127  1.2604e-01  1.7113e+00  1.38   9.09   3.374 0.011 0.003 0.004 0.022 0.069
I  2M03541406+7943065 4464.86 1.94  -0.354  0.112  1.9478e-01  1.6202e+00  0.34   9.29   1.259 0.005 0.001 0.002 0.01  0.03 
I  2M03542498+8016100 4590.09 2.4    0.161  0.121 -2.6559e-01  3.3025e+00  1.45  10.61   3.234 0.011 0.003 0.003 0.015 0.042
