ID,OC,ra,dec,g_mag,g_mag_err,Teff,Teff_err,ref,cal_lum,cal_lum_err,mem_prob
604920786155223552,M67,132.77179362673002,11.82613316281,13.6247,0.0002060695095003264,6128.0,44.0,F,2.128852778093421,0.05537041505993882,1.0
604920927889929216,M67,132.80277538728,11.84293986971,13.499854999999998,0.00021089418017432968,6193.0,70.0,F,2.384353347159661,0.06320990073041488,1.0
604920962249663360,M67,132.81511020485001,11.848939814360001,12.783987,0.000207892042918518,5300.33837890625,91.46673583984376,C,4.913231537005632,0.14706722886122978,1.0
604921129752600832,M67,132.82817031826,11.85518486177,12.811345,0.00018978586989624948,5214.3291015625,91.46673583984376,C,4.8535953950683535,0.1528072005421918,1.0
604921198472075008,M67,132.869964673,11.8666480975,12.510128,0.00017691656798900427,5590.556640625,91.46673583984376,C,6.118535859357442,0.16136018311290612,1.0
604921885666815360,M67,132.73464449131,11.85812332221,13.971825,0.00022108913791102984,6074.0,46.0,A,1.548797504459519,0.03977543961479322,1.0
604921924322164608,M67,132.74227548505,11.87286863955,12.626286,0.00017620939886702478,5025.36767578125,91.46673583984376,C,5.960034697346046,0.2128965356709119,1.0
604922061761107584,M67,132.77419972423002,11.886304627410002,14.870339,0.0003187445161590919,5551.0,40.0,A,0.6984356672201681,0.017853007062426356,1.0
604922096120852864,M67,132.75313068653,11.88651278563,14.620118,0.00027790583725830793,5725.0,45.0,A,0.8671517016310824,0.02166427593356968,1.0
604922267919525504,M67,132.80116418084998,11.90637916263,14.016835999999998,0.00021537400345656248,6031.0,67.0,A,1.4880625399826544,0.03797192881701725,1.0
604922886394972160,M67,132.92173896633005,11.90806280055,12.658959,0.00015784711727005773,6207.0,32.0,F,5.171216013541804,0.1374716058205751,1.0
604923470510324224,M67,132.95344539762,11.94755492766,12.666274,0.0001604003184965141,5011.5146484375,91.46673583984376,C,5.761426185176816,0.2078609644145384,1.0
604923607949286912,M67,132.90652769331,11.945705475510001,14.271757999999998,0.0002198790713444908,5851.0,33.0,A,1.186062543201028,0.029507996432788737,1.0
604923848467467648,M67,132.86615347123,11.92803125884,13.173748000000002,0.00023036994760187359,6074.0,29.0,G,3.2301693508198084,0.08287373569527395,0.997
604924393927734528,M67,132.89747103201,11.96569736057,12.619714,0.0001528793692137833,5494.88037109375,91.46673583984376,C,5.581942843872844,0.15219046549306647,1.0
604924531366686080,M67,132.92826222143,11.991943847469999,13.906324,0.00018867300679379343,6067.0,49.0,A,1.6454809715266514,0.042203963687901865,1.0
604942505805554176,M67,133.06434896795,11.88373909846,14.353541,0.0002546699026322031,5901.0,55.0,A,1.0972166274605095,0.02749174362110764,1.0
604943880195096320,M67,133.00168031313,11.935279833839994,14.209217,0.0002438658348810645,5904.0,37.0,A,1.253024786294206,0.031308093192476384,1.0
604944120713062784,M67,133.01894290141,11.98023219052,15.480659,0.00046631809765100216,5075.0,58.0,A,0.4257155023332232,0.013443319018104314,0.931
604962640612163200,M67,132.58984972072,11.83975829325,14.357993,0.00022137071812906362,5861.0,45.0,A,1.0949234929417275,0.02731144629567097,1.0
