RA DEC TEFF TEFF_ERR
248.041033 -12.940186 5443.0 91.5
248.07729 -13.798234 4747.3 91.5
248.231651 -12.998233 5304.4243 91.466736
248.983557 35.872028 4947.631 91.466736
250.552888 47.429352 4728.8706 91.466736
250.943272 35.404789 4550.3745 91.466736
251.885465 37.454529 5818.5 91.5
252.253576 47.245213 5448.3 91.5
252.9275 47.056908 5839.8 91.5
257.737448 43.019936 5090.0493 91.466736
258.139965 43.233463 4408.8 91.5
258.438683 42.848789 5160.2124 91.466736
258.526101 43.125866 4206.7 91.5
258.750352 43.343197 4989.39 91.466736
259.347147 42.948795 5448.4375 91.466736
259.922921 43.084286 5158.7173 91.466736
259.927607 43.915607 4720.2 91.466736
260.104857 42.828236 4598.5 91.5
260.14079 43.464378 4504.1304 91.466736
260.455475 42.361183 4822.055 91.466736
277.959737 -0.326723 5554.5 91.5
280.207847 -2.087532 4856.539 91.466736
280.69293 -3.1307 4981.8154 91.466736
281.418682 -2.083765 4588.2466 91.466736
281.824055 -1.587915 4668.076 91.466736
282.058929 -2.853696 4515.791 91.466736
282.674799 -3.188977 4925.8047 91.466736
282.843706 -2.434019 4993.875 91.466736
284.148908 -3.896199 4821.8564 91.466736
284.231515 -4.049129 4555.3574 91.466736
284.485456 -3.258762 4510.4097 91.466736
284.529364 -3.356728 4586.1533 91.466736
284.540897 -5.103501 4704.7524 91.466736
284.826579 -4.018987 5140.3794 91.466736
285.907334 -3.367438 4965.7695 91.466736
286.249091 -3.534292 4458.8833 91.466736
287.716552 28.76173 4983.111 91.466736
287.782101 27.787617 4528.2 91.5
287.938145 -7.430175 4856.24 91.466736
288.155568 27.407677 4927.5986 91.466736
288.26063 -6.419455 5164.398 91.466736
288.331005 -5.534673 4695.683 91.466736
288.421008 -7.201497 5060.848 91.466736
288.746698 -5.664099 4573.297 91.466736
289.007137 27.247347 5179.0483 91.466736
291.032913 25.07262 5062.642 91.466736
291.650088 42.700779 5953.7 91.5
291.771806 41.098072 6404.8 91.5
291.905443 25.926058 4874.0796 91.466736
291.958708 24.439016 4551.9688 91.466736
292.276119 42.037746 4937.266 91.466736
292.324187 43.033451 6143.5 91.5
292.356726 26.448292 5040.417 91.466736
292.368932 24.984377 4550.075 91.466736
292.56102 26.229767 4610.471 91.466736
292.976217 42.54768 4541.803 91.466736
293.463583 42.884018 4124.0 91.5
293.838256 42.122211 5584.7 91.5
294.75018 24.4545 4726.977 91.466736
294.934356 24.631409 6089.6 91.5
295.05785 22.821747 5162.7036 91.466736
295.181983 23.062401 4623.926 91.466736
295.230515 24.02103 4951.817 91.466736
295.287902 23.531225 4867.9004 91.466736
295.310138 24.907413 5075.199 91.466736
295.693535 23.312281 4832.321 91.466736
295.89624 24.943506 4721.4956 91.466736
296.208493 24.657574 4913.945 91.466736
296.334808 24.965488 4687.3115 91.466736
296.396972 23.552155 4687.5103 91.466736
296.811982 22.739138 4873.98 91.466736
296.947573 23.352871 6431.7915 91.466736
297.020352 24.020674 5071.512 91.466736
297.059221 23.12867 4876.4717 91.466736
298.564456 21.685858 5203.0674 91.466736
299.228079 22.10541 4866.7046 91.466736
299.974896 23.27573 5034.4375 91.466736
300.015817 22.150858 5032.544 91.466736
300.49727 20.741873 4797.0405 91.466736
300.834963 21.453135 4703.1577 91.466736
302.773676 19.918379 4937.6 91.5
302.824788 19.146353 5033.142 91.466736
303.096352 19.373617 5308.3115 91.466736
303.128235 18.844429 5031.647 91.466736
303.278652 20.73815 4977.131 91.466736
304.633241 19.895283 5129.4165 91.466736
311.13782 50.666702 3855.0 91.5
311.467095 51.642422 4988.692 91.466736
311.866675 51.185841 4784.383 91.466736
312.796303 50.901497 4984.9053 91.466736
312.845323 51.745708 4946.2354 91.466736
313.236106 49.973854 5671.7 91.5
313.330721 50.210426 5146.3594 91.466736
313.413416 49.807972 5212.6353 91.466736
313.674721 51.560757 4335.4 91.5
313.700959 50.294617 5046.098 91.466736
313.824239 50.200779 4972.9453 91.466736
313.975954 50.605865 5360.5347 91.466736
314.132227 51.899715 4529.0464 91.466736
314.167528 50.358776 5506.1426 91.466736
314.449794 50.26577 5665.4 91.5
314.666183 50.347542 5108.188 91.466736
314.870227 50.849682 5066.629 91.466736
315.00136 50.797413 5305.1 91.5
317.218633 49.561649 4831.8228 91.466736
317.996805 47.036442 5092.043 91.466736
319.273507 47.77916 4746.2124 91.466736
319.342 48.726196 4895.3076 91.466736
319.598412 48.290997 4852.154 91.466736
320.611058 45.663742 4794.9473 91.466736
320.725011 44.883373 4642.2637 91.466736
320.955243 45.576168 4803.6177 91.466736
321.192619 12.793491 4643.958 91.466736
321.438129 44.214184 4469.149 91.466736
321.618781 11.645174 5991.2 91.5
321.704743 45.252831 4418.8 91.5
321.809263 46.356579 5013.8 91.5
321.906261 46.900272 5027.0625 91.466736
321.931489 12.035592 5202.2 91.5
322.058974 12.123342 5218.1167 91.466736
322.554076 11.554561 5280.7 91.5
322.639114 13.233366 5089.7505 91.466736
322.655302 11.920068 5651.5 91.5
322.752459 12.333034 5043.4067 91.466736
322.783387 12.027529 4794.349 91.466736
322.838018 13.127764 4847.7686 91.466736
322.882663 11.660161 5180.1 91.5
322.988997 11.948574 4831.125 91.466736
323.169642 12.400843 5041.5137 91.466736
323.210234 12.10928 3586.2 91.5
323.307207 12.915595 4911.254 91.466736
323.430152 11.42367 4661.3 91.5
323.566702 11.810963 5145.063 91.466736
324.540109 42.149872 4866.9 91.5
325.486601 43.113472 5156.325 91.466736
326.089016 43.216324 4756.8 91.5
327.1218 43.118149 5044.703 91.466736
327.356553 42.057919 5372.5 91.5
