ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573620065232233472,16.298147,0.0006218702246750604,15.723029,0.0031417054721801715,16.710495,0.00809035031009988,0.571,0.9713084,0.18036872,1906.76887363684,158.8150935727299,00243435+8508337,14.69,0.091,6.14281808888,85.14268548818,1.0,0.98746586,0.00867894471776725,-2.9405632
573622436054166400,15.307907,0.0004190188771945969,14.780476,0.001815656112199692,15.671518,0.0039854885909054285,0.6697,1.8178899,0.21556687,1702.54822253418,80.15626998233006,00262803+8513140,13.797,0.046,6.61665330211,85.22060843519,1.0,0.8910427,0.004379580622160693,-2.3119106
573739877638305920,15.157716,0.00035854132042412325,14.594854,0.0014803309741671436,15.563833,0.002801736955790783,1.5885,2.2817557,0.27745032,1749.7495012034,84.27257515477982,00530136+8453331,13.545,0.042,13.255552319949999,84.89251097534999,1.0,0.9689789,0.0031687710176853184,-1.8694582
573740113859803264,15.825535,0.0005439885905971356,15.268396,0.002173629759037485,16.228325,0.002620839837484579,1.4013,2.2622747,0.47235966,2303.26805344904,206.73173128684994,00533697+8455128,14.239,0.065,13.40416899073,84.92025495628,1.0,0.9599285,0.0034049181756863924,-2.5712166
573741561265580928,15.89559,0.0005693159146096634,15.343969,0.0027743787356613665,16.286427,0.002699741332852283,0.617,1.4901147,0.2635193,1969.29609023319,152.2352006527301,00571594+8500007,14.304,0.067,14.31642579145,85.00018900508,1.0,0.9424572,0.0038711471985964294,-2.706789
573742209803867008,16.407948,0.0008032352032700435,15.812653,0.0034754493847747236,16.845509,0.005202686323903432,0.3953,0.7609825,0.16757351,1745.46313414443,187.61318290100007,00550035+8459198,14.613,0.081,13.751479312329998,84.98883322620999,1.0,1.032856,0.006256731847463403,-2.8801508
573742626417369728,15.3735695,0.0004441085270344791,14.843333,0.001605458079689543,15.743727,0.002615844299365754,0.7725,1.9792498,0.26645768,1813.10188336197,100.71096979497997,00535721+8501490,13.818,0.044,13.4883096557,85.03032582146,1.0,0.9003935,0.0030692241762642148,-2.3425074
573743313612256128,15.411051,0.00041908139403367637,14.811471,0.002454282568751587,15.839731,0.0032788344477007124,0.9948,1.8816704,0.22863233,1763.59205928163,84.53017329301997,01045484+8455533,13.662,0.055,16.22841009358,84.93148838741999,1.0,1.0282602,0.0040956389321700135,-1.9004879
573743382331728896,15.430302,0.00046418153930854756,14.859852,0.0018593182921725394,15.838997,0.0030634552260026073,1.48,2.353623,0.35612786,1989.86422173274,124.46157023364026,01035509+8456467,13.817,0.046,15.97944318813,84.94633115050999,1.0,0.97914505,0.003583548860184565,-2.103921
573743691569366528,16.770432,0.0007568203593695204,16.146568,0.003718923094852426,17.261034,0.005530380432776594,0.671,0.7518837,0.1937086,1997.67592477486,247.6811440490601,01023773+8458455,14.808,0.101,15.657238025429999,84.97932663611,1.0,1.1144657,0.00666449523344904,-2.9365978
