NGC number spSpec RA DEC RV RV_err Teff Teff_err logg logg_err feh feh_err umag umag_err gmag gmag_err rmag rmag_err imag imag_err zmag zmag_err <S/N> Tag
NGC 6791 2821-54393-190 290.21180   37.71344   -43.1  2.6 4830 121 4.67 0.19 +0.06 0.03 20.372 0.287 19.594 0.023 18.796 0.015 18.592 0.015 18.565 0.051 19.6 D 
NGC 6791 2821-54393-191 290.16200   37.77697   -50.5  1.2 5297  68 4.51 0.07 -0.03 0.09 20.257 0.131 18.431 0.012 17.824 0.009 17.716 0.010 17.689 0.026 40.8 D 
NGC 6791 2821-54393-192 290.14174   37.74134   -57.2  1.8 4720 107 4.65 0.10 -0.03 0.09 20.348 0.231 19.289 0.016 18.544 0.011 18.309 0.014 18.198 0.033 23.0 D 
NGC 6791 2821-54393-193 290.14857   37.75947   -44.3  1.8 4973  24 4.53 0.13 -0.25 0.06 20.833 0.188 18.714 0.010 18.062 0.009 17.911 0.010 17.903 0.029 34.8 D 
NGC 6791 2821-54393-194 290.18383   37.77736   -45.6  1.0 5451  79 4.40 0.07 +0.34 0.03 19.960 0.104 18.218 0.012 17.640 0.009 17.508 0.012 17.462 0.026 48.3 D 
NGC 6791 2821-54393-195 290.20292   37.76702   -44.6  1.4 4897  99 4.66 0.09 +0.19 0.03 21.249 0.232 19.101 0.018 18.420 0.012 18.243 0.015 18.162 0.033 27.5 D 
NGC 6791 2821-54393-196 290.21350   37.74117   -48.7  1.0 5459  64 4.46 0.08 +0.28 0.07 19.907 0.089 18.197 0.011 17.638 0.010 17.527 0.013 17.511 0.033 47.3 D 
NGC 6791 2821-54393-197 290.14430   37.78641   -46.1  1.0 5585  53 4.49 0.08 +0.30 0.05 19.492 0.062 17.833 0.007 17.329 0.006 17.208 0.009 17.198 0.019 56.7 D 
NGC 6791 2821-54393-199 290.19034   37.71489   -48.1  1.9 4838  67 4.75 0.16 +0.22 0.03 20.517 0.225 19.162 0.017 18.474 0.014 18.325 0.012 18.261 0.036 24.9 D 
NGC 6791 2821-54393-235 290.12569   37.76434   -42.1  1.1 5503  56 4.31 0.09 +0.09 0.10 19.348 0.047 17.648 0.007 17.120 0.009 17.012 0.011 17.011 0.022 63.0 D 
NGC 6791 2821-54393-436 290.12584   37.81327   -44.3  1.2 5320  14 4.40 0.10 +0.08 0.12 20.484 0.139 18.557 0.016 17.927 0.013 17.732 0.009 17.650 0.020 42.9 D 
NGC 6791 2821-54393-438 290.14612   37.83670   -49.8  0.8 5509  87 4.29 0.08 +0.27 0.06 19.623 0.078 17.927 0.016 17.334 0.018 17.185 0.006 17.121 0.017 62.2 D 
NGC 6791 2821-54393-439 290.11927   37.79796   -44.2  0.9 5497  26 4.27 0.05 +0.11 0.09 19.364 0.062 17.692 0.008 17.159 0.014 17.045 0.010 17.024 0.015 59.1 D 
NGC 6791 2821-54393-440 290.15288   37.81589   -35.2  1.1 5354 102 4.40 0.06 +0.11 0.05 19.651 0.065 17.798 0.009 17.165 0.009 16.959 0.012 16.896 0.016 64.9 D 
NGC 6791 2821-54393-468 290.26379   37.84733   -49.7  1.5 4866  45 4.71 0.10 +0.25 0.05 21.425 0.296 19.449 0.020 18.625 0.015 18.434 0.020 18.438 0.043 23.3 D 
NGC 6791 2821-54393-469 290.28646   37.80753   -41.8  1.2 5226 169 4.52 0.09 +0.30 0.03 21.200 0.236 18.990 0.024 18.310 0.015 18.141 0.020 18.127 0.034 32.8 D 
NGC 6791 2821-54393-472 290.26775   37.82575   -45.5  1.0 5302  73 4.54 0.11 +0.33 0.04 20.296 0.107 18.564 0.015 17.963 0.010 17.830 0.016 17.749 0.033 41.9 D 
NGC 6791 2821-54393-473 290.18250   37.84431   -42.4  1.1 5215  71 4.42 0.10 +0.05 0.05 20.299 0.105 18.535 0.013 17.918 0.012 17.787 0.014 17.741 0.027 42.9 D 
NGC 6791 2821-54393-474 290.22450   37.83158   -46.9  0.9 5613  73 4.70 0.13 +0.24 0.07 19.818 0.074 18.064 0.036 17.597 0.009 17.486 0.012 17.486 0.026 47.9 D 
NGC 6791 2821-54393-475 290.20554   37.84583   -40.0  1.5 5207 131 4.63 0.08 +0.27 0.04 21.165 0.260 19.129 0.017 18.436 0.012 18.325 0.013 18.226 0.035 27.7 D 
NGC 6791 2821-54393-478 290.24763   37.83678   -48.9  1.1 5531  88 4.32 0.10 +0.26 0.07 19.933 0.067 18.175 0.012 17.606 0.010 17.493 0.013 17.493 0.029 48.9 D 
NGC 6791 2821-54393-479 290.23475   37.81458   -41.3  1.1 5029  84 4.62 0.14 +0.23 0.10 20.541 0.147 18.509 0.015 17.775 0.011 17.615 0.010 17.550 0.019 44.7 D 
NGC 6791 2821-54393-480 290.23092   37.84886   -44.3  2.5 5374 229 4.65 0.10 +0.39 0.14 20.482 0.122 18.827 0.014 18.173 0.011 18.047 0.013 17.981 0.029 16.6 D 
