KIC ID|RA Dec
KIC 2297785|290.2619087004320 +37.6249263193278
KIC 2297825|290.2701420789716 +37.6843528175685
KIC 2299888|290.7546171434421 +37.6706479628847
KIC 2299926|290.7638348516183 +37.6335818184112
KIC 2300227|290.8315263743020 +37.6861760308659
KIC 2300329|290.8537050002432 +37.6481708778806
KIC 2300494|290.8871701037331 +37.6997938766953
KIC 2300503|290.8906097064804 +37.6693181000183
KIC 2300853|290.9765209664301 +37.6766474767690
KIC 2300962|291.0020814032822 +37.6093155686951
KIC 2301349|291.0919137537453 +37.6400342940722
KIC 2301577|291.1524279858623 +37.6834987177804
KIC 2302010|291.2439716370272 +37.6085087631920
KIC 2303101|291.4768990960321 +37.6725601629027
KIC 2303200|291.4954881931504 +37.6065745978509
KIC 2303304|291.5183154435713 +37.6987241133903
KIC 2303367|291.5367193685173 +37.6734520297680
KIC 2303414|291.5471314423256 +37.6380798347297
KIC 2303610|291.5855981586187 +37.6821269139644
KIC 2303756|291.6119857400063 +37.6412396506542
KIC 2303870|291.6345144325425 +37.6566810545964
KIC 2303954|291.6543380102883 +37.6643885476515
KIC 2304104|291.6879803770962 +37.6254825692406
KIC 2304765|291.8461990021218 +37.6994953808672
KIC 2304883|291.8745988687217 +37.6893119579789
KIC 2305082|291.9226565097732 +37.6126415172322
KIC 2305145|291.9389028496301 +37.6882250463730
KIC 2305407|291.9961829336210 +37.6911696591002
KIC 2305479|292.0120265864187 +37.6974135841330
KIC 2305590|292.0367874576602 +37.6106026929164
KIC 2305930|292.1068197155681 +37.6897890360039
KIC 2305969|292.1148381085042 +37.6962018709082
KIC 2305987|292.1178542786100 +37.6854693466957
KIC 2305992|292.1189803855478 +37.6658929200423
KIC 2306481|292.2189119751016 +37.6419877822411
KIC 2307683|292.4835919317297 +37.6820909714859
KIC 2308196|292.5962852860125 +37.6953484433697
KIC 2308429|292.6409491050748 +37.6522688232736
KIC 2308762|292.7136108358546 +37.6136647181089
KIC 2308968|292.7557372063137 +37.6672794939625
KIC 2309235|292.8174363851873 +37.6238171177346
KIC 2309286|292.8310605545279 +37.6100377042636
KIC 2309469|292.8699713884340 +37.6442084245658
KIC 2309550|292.8910942844904 +37.6699890418165
KIC 2309617|292.9059345034888 +37.6056142679249
KIC 2309720|292.931030 +37.679279
KIC 2310571|293.1239648379950 +37.6128563947860
KIC 2311069|293.2357829494546 +37.6732915552139
KIC 2311548|293.3301891621306 +37.6708770227891
KIC 2421920|285.8193766215038 +37.7061716637039
KIC 2422073|285.8875724926660 +37.7217380391491
KIC 2422558|286.0527196745484 +37.7253131818475
KIC 2422568|286.0560358026838 +37.7235572044713
KIC 2422635|286.0732784652600 +37.7239109179908
KIC 2423694|286.4204693853103 +37.7151855128390
KIC 2423737|286.4343053172441 +37.7101449507665
KIC 2423824|286.4622163126216 +37.7597563697973
KIC 2423932|286.4987490753310 +37.7784902673375
KIC 2424822|286.8132395172314 +37.7459800661944
KIC 2424934|286.8458405957915 +37.7852778036847
KIC 2424955|286.8551588599726 +37.7794600315995
KIC 2425044|286.8849125752775 +37.7080836430961
KIC 2425316|286.9763445080375 +37.7306983360256
KIC 2425348|286.9884314066209 +37.7406319866664
KIC 2425375|286.9982480360508 +37.7772819290009
KIC 2425631|287.0738507552868 +37.7629401646047
KIC 2435987|290.0822255791056 +37.7819417219679
KIC 2436097|290.1019558914743 +37.7705496830408
KIC 2436209|290.1195841546657 +37.7213826006654
KIC 2436332|290.1361149225239 +37.7728450358115
KIC 2436417|290.1452466986254 +37.7749822029987
KIC 2436457|290.1493692283432 +37.7071619253419
KIC 2436458|290.1494002183198 +37.7811398784175
KIC 2436540|290.1576598205324 +37.7569569072926
KIC 2436676|290.1697145857500 +37.7911733089908
KIC 2436688|290.1709443990129 +37.7173878930807
KIC 2436732|290.1749037823640 +37.7983829459157
KIC 2436814|290.1815231526383 +37.7838702864228
KIC 2436824|290.1820082256346 +37.7782483527153
KIC 2436900|290.1882301781783 +37.7427758381425
KIC 2436912|290.1888760320892 +37.7883177407796
KIC 2437040|290.1985759240171 +37.7923001924635
KIC 2437103|290.2030603069908 +37.7867542063889
KIC 2437191|290.2084827156874 +37.7911775805847
KIC 2437240|290.2117671870965 +37.7247989900563
KIC 2437340|290.2191463362543 +37.7411738867663
KIC 2437353|290.2203409767069 +37.7592105823739
KIC 2437402|290.2232672752921 +37.7885687700359
KIC 2437444|290.2257707070114 +37.7745994463695
KIC 2437488|290.2291490972054 +37.7614019467797
KIC 2437507|290.2304468839774 +37.7209122577057
KIC 2437539|290.2325541763829 +37.7085385775838
KIC 2437564|290.2345795473397 +37.7426326124375
KIC 2437589|290.2363234529212 +37.7187441477983
KIC 2437653|290.2410501703176 +37.7852062779295
KIC 2437692|290.2443014328990 +37.7945932048306
KIC 2437698|290.2447815253002 +37.7203025061184
KIC 2437781|290.2518352823254 +37.7878075089290
KIC 2437804|290.2535993306807 +37.7594131631759
KIC 2437805|290.2535939800838 +37.7776822269998
KIC 2437816|290.2546716697260 +37.7037397887896
KIC 2437957|290.2674082682104 +37.7729640485676
KIC 2437965|290.2677785680911 +37.7885277222826
KIC 2437976|290.2689728214284 +37.7815114916182
KIC 2437987|290.2697326084185 +37.7656141535646
KIC 2438038|290.2748069317670 +37.7993830601426
KIC 2438051|290.2762377822513 +37.7499063248929
KIC 2438094|290.2796416764862 +37.7026181113358
KIC 2438140|290.2838166777892 +37.7589325713939
KIC 2438333|290.3041774089735 +37.7168105986389
KIC 2438368|290.3089755191709 +37.7827518957501
KIC 2438470|290.3229942987194 +37.7904525820675
KIC 2438522|290.3298255883810 +37.7177160296271
KIC 2439378|290.5025097081096 +37.7176374688986
KIC 2439420|290.5127587548092 +37.7842469251922
KIC 2441510|291.0260042115866 +37.7551704999745
KIC 2441711|291.0688773785121 +37.7910564070603
KIC 2441995|291.1395712623446 +37.7012415495815
KIC 2442363|291.2236015460712 +37.7622035894137
KIC 2442382|291.2294848548321 +37.7754983056356
KIC 2442483|291.2548667121828 +37.7149285310644
KIC 2442559|291.2716784016566 +37.7981596681425
KIC 2442606|291.2819137054041 +37.7513074037889
KIC 2442759|291.3169347143292 +37.7239150223811
KIC 2443035|291.3735288151638 +37.7440420767497
KIC 2443573|291.4950355343742 +37.7052502063586
KIC 2443691|291.5221017602350 +37.7983569157175
KIC 2443903|291.5705801946549 +37.7646626372077
KIC 2444062|291.6048006466212 +37.7805212605128
KIC 2444316|291.6609878829846 +37.7301075372225
KIC 2444348|291.6686733151410 +37.7040906728498
KIC 2444598|291.7243407778182 +37.7374511530289
KIC 2444691|291.7465177517672 +37.7108670596521
KIC 2444790|291.7681488083039 +37.7767739415834
KIC 2445426|291.9095574253606 +37.7486879571536
KIC 2445712|291.9762537733735 +37.7240441566022
KIC 2445833|292.0010251969762 +37.7339475837227
KIC 2445947|292.0240788683861 +37.7767588807542
KIC 2446141|292.0627269003376 +37.7889942101703
KIC 2446327|292.1062352472636 +37.7733304555334
KIC 2447046|292.2495119909678 +37.7551800106521
KIC 2447476|292.3327488260424 +37.7047269921029
KIC 2447529|292.3428812215233 +37.7813998574844
